Sample,Sample_Name,Source,Label,type,alpha-pinene,beta-pinene,myrcene,alpha-phellandrene,delta-3-carene,ocimene,gamma-terpinene,terpinolene*,linalool,limonene*,fenchol,sabinene hydrate*,camphor,borneol,terpineol,unidentified compound 1,delta-guaiene*,caryophyllene,alpha-humulene,gamma-cadinene*,eudesma*,unidentified compound 2,alpha-guaiene*,gamma-selinene*,gurjunen*,caryophyllene oxide,bergamotene*,farnesene,aromadendrene,gamma-elemene*,guaiol*,gamma-eudesmol*,beta-eudesmol,alpha-bisabolol,THC,CBG,CBC,THCV,CBD,CBGM*,chemical total,monoterpenes,sesquiterpenes,cannabinoids,alpha-pinene norm,beta-pinene norm,myrcene norm,alpha-phellandrene norm,delta-3-carene norm,ocimene norm,gamma-terpinene norm,terpinolene* norm,linalool norm,limonene* norm,fenchol norm,sabinene hydrate* norm,camphor norm,borneol norm,terpineol norm,unidentified compund 1 norm,delta-guaiene* norm,caryophyllene norm,alpha-humulene norm,gamma-cadinene* norm,eudesma* norm,unidentified compound 2 norm,alpha-guaiene* norm,gamma-selinene* norm,gurjunen* norm,caryophyllene oxide norm,bergamotene* norm,farnesene norm,aromadendrene norm,gamma-elemene* norm,guaiol* norm,gamma-eudesmol* norm,beta-eudesmol norm,alpha-bisabolol norm,THC norm,CBG norm,CBC norm,THCV norm,CBD norm,CBGM* norm
88,A20,HempFlax,i,5,0,0.13840828,8.698428034,0,0,0.282139955,0,0,0.21825921,0.415224839,0,0,0,0,1.256321307,0.273768428,0.629667385,1.210056453,0.427078748,0.060229054,0.109507371,0,0.246391585,0.125933477,0,0,0,0.421603379,0.240916217,0.213539374,0,0.136884214,0,0.1916379,109.9260907,1.739578133,1.309881542,0.464349541,0.450488361,0.471280132,129.6576636,11.00878162,4.287213586,114.3616684,0,0.012572534,0.790135397,0,0,0.025628627,0,0,0.019825919,0.037717602,0,0,0,0,0.114119923,0.06385696,0.146871009,0.282247765,0.099616858,0.014048531,0.025542784,0,0.057471264,0.029374202,0,0,0,0.098339719,0.056194125,0.049808429,0,0.03192848,0,0.044699872,0.961214472,0.015211199,0.011453851,0.00406036,0.003939155,0.004120962
89,A21,HempFlax,i,5,0,0.227331177,7.905557863,0,0,0.568327942,0,0,0.385386846,1.499501528,0.088698713,0.063772562,0,0,0.121879281,0,0,1.157701466,0.31081808,0.256545016,0.322180055,0,0.17114171,0.116868645,0,0,0.079827036,0.250884972,0.222500978,0.769970146,0.402090867,0.367837392,0.179548001,0.125358711,153.6275764,2.144353506,1.955800604,1.317037053,0.599094538,0.790222232,176.0278133,10.86045591,4.733273077,160.4340843,0,0.02093201,0.727921362,0,0,0.052330026,0,0,0.035485329,0.138069851,0.008167126,0.005871997,0,0,0.011222299,0,0,0.244587931,0.065666628,0.054200341,0.068067075,0,0.03615716,0.024690873,0,0,0.016865082,0.053004542,0.047007847,0.16267182,0.084949856,0.077713114,0.037933159,0.026484572,0.957574427,0.013365947,0.01219068,0.00820921,0.00373421,0.004925526
90,A22,HempFlax,i,5,0,0.396935694,11.24651134,0,0,0,0,0,0.303214766,2.083912395,0.126798902,0.104746919,0,0,0.435526664,0.26650794,0.606730841,1.009327941,0.459300917,0.062374199,0.130418779,0.073714962,0.340222901,0,0,0,0,0.425278627,0,0.260837558,0.351563665,0.33455252,0.249496794,0.079385344,135.8831636,1.342179991,1.657987048,0.753630476,0.502420318,0.136371229,159.6231123,14.69764668,4.649712987,140.2757527,0,0.027006752,0.765191298,0,0,0,0,0,0.020630158,0.141785446,0.008627157,0.007126782,0,0,0.029632408,0.057317073,0.130487805,0.217073171,0.098780488,0.013414634,0.02804878,0.015853659,0.073170732,0,0,0,0,0.091463415,0,0.056097561,0.075609756,0.07195122,0.053658537,0.017073171,0.968686042,0.009568154,0.011819484,0.005372493,0.003581662,0.000972165
91,A23,HempFlax,i,5,0.198993888,0.182952402,11.13663985,0,0,3.500950125,0,0,0.155900646,0.249913996,0,0,0,0,0.766343561,0,0,1.321959218,0.378871669,0.226570655,0.304158893,0,0.066352272,0.182557375,0,0,0,0,0.40926097,0.281864215,0.093954738,0.099528408,0,0.293188808,135.6882624,11.97511903,2.323363028,0.851014576,0.507394101,0.126148944,171.3212638,16.19169447,3.65826722,151.4713021,0.012289874,0.011299151,0.68779953,0,0,0.216218885,0,0,0.009628433,0.015434703,0,0,0,0,0.047329423,0,0,0.361362125,0.103565881,0.061933872,0.083142886,0,0.018137623,0.04990269,0,0,0,0,0.111872902,0.077048558,0.025682853,0.027206435,0,0.080144175,0.895801783,0.079058666,0.015338635,0.005618322,0.003349771,0.000832824
92,A24,HempFlax,i,5,0.787500691,0.36033465,8.719869143,0,0,0.41064418,0,0,0.206590419,0.131265614,0.055382847,0.044306278,0,0,0.069228559,0,0,0.60898263,0.209592177,0.166486639,0.244009654,0,0.063186385,0.155189502,0,0,0,0,0.169430484,0.298412329,0.284362644,0.221080611,0.137956852,0.287402137,87.69976189,4.959898386,1.403342657,10.55697173,0.410775121,1.257743217,119.9197074,10.78512238,2.846092044,106.288493,0.073017316,0.033410344,0.808509059,0,0,0.03807506,0,0,0.01915513,0.01217099,0.005135115,0.004108092,0,0,0.006418894,0,0,0.213971516,0.073642094,0.058496576,0.085734983,0,0.022201104,0.054527225,0,0,0,0,0.059530922,0.104849852,0.099913369,0.077678658,0.048472379,0.100981322,0.825110597,0.046664491,0.013203148,0.09932375,0.003864719,0.011833296
93,A25,HempFlax,i,5,0.825764844,0.633891652,11.67285487,0,0,0.487435503,0,0,0.181103839,1.720655767,0.111921326,0.093286583,0,0,0.135884312,0,0,1.40520314,0.446489301,0.101401076,0.131528517,0,0.145156849,0.115087453,0,0,0,0.216343418,0,0.44370559,0.295852097,0.309480429,0.172616668,0.126048162,88.96348409,0.881023256,0.853238913,3.943830682,0.433501255,0,114.8467896,15.86279869,3.908912702,95.0750782,0.052056693,0.039960896,0.735863519,0,0,0.030728216,0,0,0.011416891,0.108471134,0.007055585,0.00588084,0,0,0.008566226,0,0,0.359486959,0.114223401,0.025940993,0.033648364,0,0.03713484,0.029442318,0,0,0,0.055346188,0,0.113511256,0.075686545,0.079173021,0.044159765,0.032246349,0.935718232,0.009266606,0.00897437,0.041481225,0.004559568,0
94,A27,HempFlax,i,5,0.168639958,0.233955851,8.226497287,0,0,0.454317915,0,0,0.277500597,1.066501779,0.057128726,0,0,0,0.081609313,0,0,1.074530559,0.271430778,0.131511246,0.139896834,0,0.170687706,0.123113048,0,0,0,0.235051195,0.159495152,0.428098789,0.274225134,0.246238705,0.15390392,0.100722896,124.4388614,1.682268673,1.586727415,2.259247982,0.502925176,0.534796736,145.0798848,10.56615143,3.508905964,131.0048274,0.015960396,0.022142012,0.77857083,0,0,0.042997483,0,0,0.026263167,0.100935689,0.005406768,0,0,0,0.007723655,0,0,0.306229511,0.077354817,0.037479273,0.039869075,0,0.048644138,0.035085878,0,0,0,0.066987032,0.045454382,0.122003495,0.078151178,0.07017535,0.043860942,0.028704929,0.949879969,0.012841272,0.012111977,0.017245532,0.003838982,0.004082267
95,A28,HempFlax,i,5,5.146496991,2.180808346,9.350084093,0,0,0.674259585,0,0,0.200170814,2.265090794,0.147494284,0.115888366,0,0,0.163297243,0,0,0.493041172,0.162541046,0,0.102942662,0,0.130032837,0.070434453,0,0,0,0.146286941,0.108360697,0,0,0,0.054180349,0.102942662,70.25354198,0.740666003,2.091695656,3.614175773,0.246888668,0,98.56132142,20.24359052,1.37076282,76.94696808,0.254228467,0.107728337,0.461878741,0,0,0.033307312,0,0,0.009888108,0.111891751,0.007285974,0.005724694,0,0,0.008066615,0,0,0.359683794,0.118577075,0,0.075098814,0,0.09486166,0.051383399,0,0,0,0.106719368,0.079051383,0,0,0,0.039525692,0.075098814,0.913012478,0.009625668,0.027183601,0.046969697,0.003208556,0
96,A29,HempFlax,i,5,0.712783783,0.339943035,12.7149661,0,0,1.299459667,0,0,0,0.164488565,0,0,0,0,0,0,0.095871167,0.766969338,0.214300256,0.225579217,0.372205708,0,0.090231687,0.180463374,0,0,0,0,0.180463374,0.411682071,0.225579217,0.225579217,0.12970805,0.304531943,102.8203473,5.767761777,1.820271353,0.485405694,0.414022504,0,129.9626144,15.23164115,3.42316462,111.3078086,0.046796256,0.022318215,0.834773218,0,0,0.085313175,0,0,0,0.010799136,0,0,0,0,0,0,0.02800659,0.224052718,0.062602965,0.065897858,0.108731466,0,0.026359143,0.052718287,0,0,0,0,0.052718287,0.120263591,0.065897858,0.065897858,0.037891269,0.088962109,0.923747836,0.051818124,0.016353492,0.004360931,0.003719618,0
97,A31,HempFlax,i,5,1.011473436,0.422785193,15.70192096,0,0,1.252300445,0,0,0,0.176606473,0,0,0,0,0.272937276,0,0,0.533935808,0.159630293,0.1541258,0.242197686,0,0,0.121098843,0,0,0,0,0.143116815,0.242197686,0.198161743,0.209170729,0.11559435,0.2311887,106.7623131,7.392469767,1.337751362,0.557396401,0.418047301,0,137.6564202,18.83802379,2.350418454,116.467978,0.053693182,0.022443182,0.833522727,0,0,0.066477273,0,0,0,0.009375,0,0,0,0,0.014488636,0,0,0.227166276,0.067915691,0.06557377,0.103044496,0,0,0.051522248,0,0,0,0,0.06088993,0.103044496,0.084309133,0.088992974,0.049180328,0.098360656,0.916666667,0.063472123,0.011486001,0.004785834,0.003589375,0
