expl_RSS,h2_RSS,unexpl_RSS
0,0.999954602131298,1
0.227785235889337,0.999964943095529,1
0.352166666912647,0.999970589747403,1
0.460102792846975,0.999975489817477,1
0.539526839543524,0.999979095499921,1
0.600229663678841,0.999981851278761,1
0.640941609799925,0.999983699514345,1
0.709712709047206,0.999986821575679,1
0.737615793256897,0.999988088316233,1
0.772118973432872,0.999989654687076,1
0.772118973432872,0.999989654687076,1
0.737615793256897,0.999988088316233,1
0.709712709047206,0.999986821575679,1
0.640941609799925,0.999983699514345,1
0.600229663678841,0.999981851278761,1
0.539526839543524,0.999979095499921,1
0.460102792846975,0.999975489817477,1
0.352166666912647,0.999970589747403,1
0.227785235889337,0.999964943095529,1
0,0.999954602131298,1
