expl_RSS,h2_RSS,unexpl_RSS
0,0.999954602131298,1
0.402612154495052,0.999972879865025,1
0.5370656726228,0.999978983768188,1
0.673667945667896,0.999985185220244,1
0.736910597867556,0.999988056301865,1
0.81297364148129,0.999991509401932,1
0.851602647530943,0.999993263076477,1
0.875131685560765,0.999994331244656,1
0.901131741866771,0.999995511591798,1
0.937217585639728,0.999997149812196,1
0.937217585639728,0.999997149812196,1
0.921667894637722,0.999996443889366,1
0.909952851817178,0.99999591205139,1
0.900046548745124,0.999995462326344,1
0.861166906590646,0.999993697273454,1
0.761884189815995,0.999989190049713,1
0.534001067369987,0.999978844641641,1
0.452388386922094,0.99997513959989,1
0.315942094662572,0.999968945229029,1
0,0.999954602131298,1
