expl_RSS,h2_RSS,unexpl_RSS
0,0.999954602131297,1
0.321536901334862,0.999969199221327,1
0.468791705405633,0.999975884275588,1
0.577729578477364,0.999980829822847,1
0.712465668631842,0.999986946554177,1
0.782636438361063,0.999990132157568,1
0.822695462483287,0.999991950751886,1
0.835375807238185,0.999992526412512,1
0.876704727857771,0.999994402657424,1
0.916096844742693,0.999996190975574,1
0.916096844742693,0.999996190975574,1
0.876704727857771,0.999994402657424,1
0.835375807238185,0.999992526412512,1
0.822695462483287,0.999991950751886,1
0.782636438361063,0.999990132157568,1
0.712465668631842,0.999986946554177,1
0.577729578477364,0.999980829822847,1
0.468791705405633,0.999975884275588,1
0.321536901334862,0.999969199221327,1
0,0.999954602131297,1
