expl_RSS,h2_RSS,unexpl_RSS
0,0.999954602131298,1
0.467941694794804,0.999975845686918,1
0.71600638004313,0.999987107294929,1
0.740161755578074,0.999988203897496,1
0.85964982942102,0.999993628401384,1
0.893677062247701,0.999995173165232,1
0.933439084606303,0.999996978276302,1
0.944073242277479,0.999997461044396,1
0.95775549478966,0.999998082189499,1
0.96769479188783,0.999998533412404,1
0.96769479188783,0.999998533412404,1
0.95775549478966,0.999998082189499,1
0.944073242277479,0.999997461044396,1
0.933439084606303,0.999996978276302,1
0.893677062247701,0.999995173165232,1
0.85964982942102,0.999993628401384,1
0.740161755578074,0.999988203897496,1
0.71600638004313,0.999987107294929,1
0.467941694794804,0.999975845686918,1
0,0.999954602131298,1
