expl_RSS,h2_RSS,unexpl_RSS
1,0,0.873660615439727,1
2,0.174978612437049,0.873398849538024,1
3,0.336609396447347,0.862834945951321,1
4,0.423119468495914,0.924034140482824,1
5,0.4406171830074,0.967866364732714,1
6,0.434986176774943,0.991490555760386,1
7,0.509564000732528,0.97766927899134,1
8,0.529638379575772,0.971683000834215,1
9,0.62132277337961,0.985738716321033,1
10,0.726542758311084,0.974419735135548,1
11,0.726542758311084,0.974419735135548,1
12,0.62132277337961,0.985738716321033,1
13,0.529638379575772,0.971683000834215,1
14,0.509564000732528,0.97766927899134,1
15,0.434986176774943,0.991490555760386,1
16,0.4406171830074,0.967866364732714,1
17,0.268971518222477,0.999419083798876,1
18,0.176711614373266,0.992747648178942,1
19,0.132455716318369,0.962752435806327,1
20,0,0.873660615439727,1
