expl_RSS,h2_RSS,unexpl_RSS
1,0,0.999954602131298,1
2,0.466585635283406,0.999975784124707,1
3,0.63904516945969,0.999983613419996,1
4,0.737779601599993,0.999988095752782,1
5,0.781721898344473,0.996428830168821,1
6,0.832509992940631,0.953269299272076,1
7,0.847347543139102,0.948369619292203,1
8,0.864658355295029,0.951736217627354,1
9,0.883353755908526,0.960307126374241,1
10,0.893047609655912,0.979092979896319,1
11,0.893047609655912,0.979092979896319,1
12,0.883353755908526,0.960307126374241,1
13,0.864658355295029,0.951736217627354,1
14,0.847347543139102,0.948369619292203,1
15,0.832509992940631,0.953269299272076,1
16,0.774620289455658,0.94712447672174,1
17,0.736069240006745,0.957174826567878,1
18,0.63904516945969,0.999983613419996,1
19,0.466585635283406,0.999975784124707,1
20,0,0.999954602131298,1
