expl_RSS,h2_RSS,unexpl_RSS
1,0,0.999954602131297,1
2,0.67191254442454,0.948916957560965,1
3,0.770551709976474,0.999989583536655,1
4,0.829736874665156,0.999992270416991,1
5,0.865128897474539,0.999993877139396,1
6,0.861853081677014,0.99999372842434,1
7,0.869935317400067,0.999994095340617,1
8,0.880954050061227,0.999994595567595,1
9,0.896425343238966,0.999995297931331,1
10,0.905056415809254,0.999995689763631,1
11,0.905056415809254,0.999995689763631,1
12,0.896425343238966,0.999995297931331,1
13,0.880954050061227,0.999994595567595,1
14,0.869935317400067,0.999994095340617,1
15,0.861853081677014,0.99999372842434,1
16,0.865128897474539,0.999993877139396,1
17,0.829736874665156,0.999992270416991,1
18,0.770551709976474,0.999989583536655,1
19,0.67191254442454,0.948916957560965,1
20,0,0.999954602131297,1
